unit_id	code	base	unit_idx	block_start	block_end	n_blocks	slice	status
P3.A.28ba2a9b.u6	A	28ba2a9b-a348-4fa1-b8ff-e1d15dd74105	6	3293	4053	760	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__28ba2a9b-a348-4fa1-b8ff-e1d15dd74105__u6.blocks.jsonl	done
P3.A.28ba2a9b.u7	A	28ba2a9b-a348-4fa1-b8ff-e1d15dd74105	7	4053	4437	384	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__28ba2a9b-a348-4fa1-b8ff-e1d15dd74105__u7.blocks.jsonl	done
P3.A.28ba2a9b.u8	A	28ba2a9b-a348-4fa1-b8ff-e1d15dd74105	8	4437	4859	422	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__28ba2a9b-a348-4fa1-b8ff-e1d15dd74105__u8.blocks.jsonl	done
P3.A.28ba2a9b.u9	A	28ba2a9b-a348-4fa1-b8ff-e1d15dd74105	9	4859	5183	324	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__28ba2a9b-a348-4fa1-b8ff-e1d15dd74105__u9.blocks.jsonl	done
P3.A.3e44d208.u0	A	3e44d208-f851-46a7-8af2-255cc8a8e4d8	0	0	146	146	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__3e44d208-f851-46a7-8af2-255cc8a8e4d8__u0.blocks.jsonl	done
P3.A.53c48a16.u0	A	53c48a16-5520-4dff-a9f2-bd1ba8be2e4a	0	0	451	451	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__53c48a16-5520-4dff-a9f2-bd1ba8be2e4a__u0.blocks.jsonl	done
P3.A.53c48a16.u1	A	53c48a16-5520-4dff-a9f2-bd1ba8be2e4a	1	451	794	343	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__53c48a16-5520-4dff-a9f2-bd1ba8be2e4a__u1.blocks.jsonl	done
P3.A.53c48a16.u2	A	53c48a16-5520-4dff-a9f2-bd1ba8be2e4a	2	794	1254	460	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__53c48a16-5520-4dff-a9f2-bd1ba8be2e4a__u2.blocks.jsonl	done
P3.A.53c48a16.u3	A	53c48a16-5520-4dff-a9f2-bd1ba8be2e4a	3	1254	1869	615	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__53c48a16-5520-4dff-a9f2-bd1ba8be2e4a__u3.blocks.jsonl	done
P3.A.53c48a16.u4	A	53c48a16-5520-4dff-a9f2-bd1ba8be2e4a	4	1869	2359	490	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__53c48a16-5520-4dff-a9f2-bd1ba8be2e4a__u4.blocks.jsonl	done
P3.A.84ad9997.u0	A	84ad9997-4bbf-4945-b4f8-e23936415870	0	0	19	19	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__84ad9997-4bbf-4945-b4f8-e23936415870__u0.blocks.jsonl	done
P3.A.84d7981e.u0	A	84d7981e-264a-49f7-a8cf-88499c35cdca	0	0	175	175	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__84d7981e-264a-49f7-a8cf-88499c35cdca__u0.blocks.jsonl	done
P3.A.8ebe0853.u0	A	8ebe0853-dce5-49d1-8144-91bba44793cc	0	0	5	5	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__8ebe0853-dce5-49d1-8144-91bba44793cc__u0.blocks.jsonl	done
P3.A.fb685fff.u0	A	fb685fff-28ed-468f-9900-b65d4ba6df1e	0	0	29	29	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__fb685fff-28ed-468f-9900-b65d4ba6df1e__u0.blocks.jsonl	done
P3.B.08c0fcfc.u0	B	08c0fcfc-af31-4315-b63f-2a9bc979f660	0	0	14	14	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/B__08c0fcfc-af31-4315-b63f-2a9bc979f660__u0.blocks.jsonl	done
P3.B.a3cba1c5.u0	B	a3cba1c5-60e6-45c0-adf4-905c62a95d88	0	0	2	2	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/B__a3cba1c5-60e6-45c0-adf4-905c62a95d88__u0.blocks.jsonl	done
P3.B.d1c3d2e6.u0	B	d1c3d2e6-d85a-46e0-9542-58d9fb55c4a2	0	0	10	10	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/B__d1c3d2e6-d85a-46e0-9542-58d9fb55c4a2__u0.blocks.jsonl	done
P3.C.00839156.u0	C	00839156-1bc1-4b2d-896f-d0771e7ad688	0	0	32	32	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__00839156-1bc1-4b2d-896f-d0771e7ad688__u0.blocks.jsonl	done
P3.C.01ec31ad.u0	C	01ec31ad-f74d-4306-afd7-61163b47136f	0	0	2	2	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__01ec31ad-f74d-4306-afd7-61163b47136f__u0.blocks.jsonl	done
P3.C.0264e996.u0	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	0	0	545	545	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u0.blocks.jsonl	done
P3.C.0264e996.u1	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	1	545	1126	581	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u1.blocks.jsonl	done
P3.C.0264e996.u2	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	2	1126	1646	520	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u2.blocks.jsonl	done
P3.C.0264e996.u3	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	3	1646	2278	632	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u3.blocks.jsonl	done
P3.C.0264e996.u4	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	4	2278	2811	533	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u4.blocks.jsonl	done
P3.C.0264e996.u5	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	5	2811	3295	484	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u5.blocks.jsonl	done
P3.C.0264e996.u6	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	6	3295	3677	382	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u6.blocks.jsonl	done
P3.C.0264e996.u7	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	7	3677	4300	623	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u7.blocks.jsonl	done
P3.C.0264e996.u8	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	8	4300	4897	597	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u8.blocks.jsonl	done
P3.C.0264e996.u9	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	9	4897	5369	472	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u9.blocks.jsonl	done
P3.C.0264e996.u10	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	10	5369	5919	550	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u10.blocks.jsonl	done
P3.C.0264e996.u11	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	11	5919	6241	322	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u11.blocks.jsonl	done
P3.C.0264e996.u12	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	12	6241	6706	465	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u12.blocks.jsonl	done
P3.C.0264e996.u13	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	13	6706	7333	627	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u13.blocks.jsonl	done
P3.C.0264e996.u14	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	14	7333	7933	600	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u14.blocks.jsonl	done
P3.C.0264e996.u15	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	15	7933	8378	445	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u15.blocks.jsonl	done
P3.C.0264e996.u16	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	16	8378	8843	465	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u16.blocks.jsonl	done
P3.C.0264e996.u17	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	17	8843	9442	599	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u17.blocks.jsonl	done
P3.C.0264e996.u18	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	18	9442	10028	586	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u18.blocks.jsonl	done
P3.C.0264e996.u19	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	19	10028	10663	635	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u19.blocks.jsonl	done
P3.C.0264e996.u20	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	20	10663	11473	810	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u20.blocks.jsonl	done
P3.C.0264e996.u21	C	0264e996-bc1f-4e0c-86f3-2662f4aba27d	21	11473	11594	121	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0264e996-bc1f-4e0c-86f3-2662f4aba27d__u21.blocks.jsonl	done
P3.C.03ef17ea.u0	C	03ef17ea-fe3a-43cb-a8f8-e30d5e36e952	0	0	639	639	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__03ef17ea-fe3a-43cb-a8f8-e30d5e36e952__u0.blocks.jsonl	done
P3.C.03ef17ea.u1	C	03ef17ea-fe3a-43cb-a8f8-e30d5e36e952	1	639	806	167	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__03ef17ea-fe3a-43cb-a8f8-e30d5e36e952__u1.blocks.jsonl	done
P3.C.0564428e.u0	C	0564428e-ed59-440b-a850-546fcb29a168	0	0	395	395	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0564428e-ed59-440b-a850-546fcb29a168__u0.blocks.jsonl	done
P3.C.0564428e.u1	C	0564428e-ed59-440b-a850-546fcb29a168	1	395	623	228	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0564428e-ed59-440b-a850-546fcb29a168__u1.blocks.jsonl	done
P3.C.0564428e.u2	C	0564428e-ed59-440b-a850-546fcb29a168	2	623	630	7	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0564428e-ed59-440b-a850-546fcb29a168__u2.blocks.jsonl	done
P3.C.0b29d15c.u0	C	0b29d15c-1b75-47d9-9a63-ec8ff0ada889	0	0	2	2	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0b29d15c-1b75-47d9-9a63-ec8ff0ada889__u0.blocks.jsonl	done
P3.C.0bca339d.u0	C	0bca339d-6a87-4a76-9271-9cddd9ef5803	0	0	107	107	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0bca339d-6a87-4a76-9271-9cddd9ef5803__u0.blocks.jsonl	done
P3.C.0c8b80bd.u0	C	0c8b80bd-e0fc-4666-8822-68735db400f4	0	0	499	499	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0c8b80bd-e0fc-4666-8822-68735db400f4__u0.blocks.jsonl	done
P3.C.0c8b80bd.u1	C	0c8b80bd-e0fc-4666-8822-68735db400f4	1	499	1107	608	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0c8b80bd-e0fc-4666-8822-68735db400f4__u1.blocks.jsonl	done
P3.C.0c8b80bd.u2	C	0c8b80bd-e0fc-4666-8822-68735db400f4	2	1107	1945	838	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0c8b80bd-e0fc-4666-8822-68735db400f4__u2.blocks.jsonl	done
P3.C.0c8b80bd.u3	C	0c8b80bd-e0fc-4666-8822-68735db400f4	3	1945	2535	590	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0c8b80bd-e0fc-4666-8822-68735db400f4__u3.blocks.jsonl	done
P3.C.0ec580cf.u0	C	0ec580cf-bc0d-4a67-a9aa-cf4bb946280e	0	0	4	4	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__0ec580cf-bc0d-4a67-a9aa-cf4bb946280e__u0.blocks.jsonl	done
P3.C.10aedc0c.u0	C	10aedc0c-cf83-4041-b7bb-6cee81ab27dc	0	0	576	576	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__10aedc0c-cf83-4041-b7bb-6cee81ab27dc__u0.blocks.jsonl	done
P3.C.10aedc0c.u1	C	10aedc0c-cf83-4041-b7bb-6cee81ab27dc	1	576	1090	514	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__10aedc0c-cf83-4041-b7bb-6cee81ab27dc__u1.blocks.jsonl	done
P3.C.110c1190.u0	C	110c1190-82aa-4b23-84a1-7600796c5a83	0	0	45	45	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__110c1190-82aa-4b23-84a1-7600796c5a83__u0.blocks.jsonl	done
P3.C.1535f738.u0	C	1535f738-8602-4408-871e-7ca21d444904	0	0	614	614	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__1535f738-8602-4408-871e-7ca21d444904__u0.blocks.jsonl	done
P3.C.15655181.u0	C	15655181-d856-4044-b5dd-7b9bcaddf353	0	0	50	50	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__15655181-d856-4044-b5dd-7b9bcaddf353__u0.blocks.jsonl	done
P3.C.1a61398e.u0	C	1a61398e-000b-44ca-a571-574de1ae9b73	0	0	532	532	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__1a61398e-000b-44ca-a571-574de1ae9b73__u0.blocks.jsonl	done
P3.C.1c3d2b50.u0	C	1c3d2b50-6cd3-44d9-b05c-b0082f565b51	0	0	463	463	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__1c3d2b50-6cd3-44d9-b05c-b0082f565b51__u0.blocks.jsonl	done
P3.C.1c3d2b50.u1	C	1c3d2b50-6cd3-44d9-b05c-b0082f565b51	1	463	1043	580	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__1c3d2b50-6cd3-44d9-b05c-b0082f565b51__u1.blocks.jsonl	done
P3.C.2243fda0.u0	C	2243fda0-7fa6-4283-b6af-13506d834ee2	0	0	3	3	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__2243fda0-7fa6-4283-b6af-13506d834ee2__u0.blocks.jsonl	done
P3.C.23c2898e.u0	C	23c2898e-e996-4090-ae8b-188917f20f27	0	0	591	591	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__23c2898e-e996-4090-ae8b-188917f20f27__u0.blocks.jsonl	done
P3.C.23c2898e.u1	C	23c2898e-e996-4090-ae8b-188917f20f27	1	591	1285	694	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__23c2898e-e996-4090-ae8b-188917f20f27__u1.blocks.jsonl	done
P3.C.23c2898e.u2	C	23c2898e-e996-4090-ae8b-188917f20f27	2	1285	1930	645	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__23c2898e-e996-4090-ae8b-188917f20f27__u2.blocks.jsonl	done
P3.C.23c2898e.u3	C	23c2898e-e996-4090-ae8b-188917f20f27	3	1930	1944	14	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__23c2898e-e996-4090-ae8b-188917f20f27__u3.blocks.jsonl	done
P3.C.24a5d05a.u0	C	24a5d05a-47a0-489a-a23d-d54529016eed	0	0	4	4	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__24a5d05a-47a0-489a-a23d-d54529016eed__u0.blocks.jsonl	done
P3.C.27bfc299.u0	C	27bfc299-c0dc-4351-9e1a-d8111b297ebd	0	0	25	25	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__27bfc299-c0dc-4351-9e1a-d8111b297ebd__u0.blocks.jsonl	done
P3.C.29d361e9.u0	C	29d361e9-822f-425a-9d39-10ac1aca8798	0	0	57	57	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__29d361e9-822f-425a-9d39-10ac1aca8798__u0.blocks.jsonl	done
P3.C.2a59a100.u0	C	2a59a100-2a84-4f75-8fa1-b65f07d96e25	0	0	12	12	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__2a59a100-2a84-4f75-8fa1-b65f07d96e25__u0.blocks.jsonl	done
P3.C.2c2507ac.u0	C	2c2507ac-7c3b-47d5-8c3a-0946a735ff0b	0	0	4	4	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/C__2c2507ac-7c3b-47d5-8c3a-0946a735ff0b__u0.blocks.jsonl	done
